Ituri,17-05-2026,"Treize premiers échantillons ont été collectés. Deux ont été analysés par RDT avec des résultats négatifs pour la Dengue, le MPOX, le Paludisme, Yersinia pestis, le COVID-19, le Rotavirus et le Choléra."
Ituri,18-05-2026,"Au 18 mai 2026, 27 échantillons provenant de nouveaux cas suspects ont été reçus et tous ont été analysés, sans aucun rééchantillonnage analysé. Il y avait 18 cas confirmés ce jour-là et 3 cas en cours de vérification. Quarante échantillons étaient en attente d'analyse au laboratoire d'Ituri et 54 échantillons provenant de Mongbwalu attendaient d'être expédiés. Les cas cumulés confirmés s’élevaient à 33 dans quatre laboratoires."
Ituri,19-05-2026,"Au 18 mai 2026, 84 échantillons avaient été reportés. Quarante-six nouveaux échantillons de cas suspects sont arrivés, pour un total de 130 à analyser. Trente et un échantillons ont été analysés ce jour-là, sans rééchantillonnage. Il y a eu 16 cas confirmés (12 dans une zone de santé, 4 sans formulaire). Le nombre cumulé de cas confirmés a atteint 51 dans trois laboratoires."
Ituri,05-06-2026,"Au total, 109 échantillons ont été collectés et analysés, avec un taux de positivité de 33 %."
Ituri,20-05-2026,"35 échantillons analysés : 12 positifs, 13 négatifs, 10 invalides. 49 reportés + 92 nouveaux = 141 à analyser. 102 échantillons envoyés à Kinshasa pour séquençage (20 mai). Cumul reçu : 218. Ré-échantillonnage : 3 échantillons (2 positifs, 1 non analysé). Cumul analysé : 134 ; positifs cumulés : 64."
North-Kivu,20-05-2026,"Seize échantillons ont été réceptionnés au laboratoire de Beni. Sept ont été transmis à Goma (4 arrivés à l'INRB Goma, 3 étaient en route). Neuf échantillons étaient encore retenus à l'INRB Beni en attente d'être transportés pour être expédiés au laboratoire d'analyses."
Ituri,22-05-2026,"Au total, 18 échantillons (17 sang, 1 écouvillon) ont été testés dans sept zones de santé. Quatre échantillons se sont révélés positifs, tous provenant de Mongbwalu."
North-Kivu,05-06-2026,"Onze échantillons ont été collectés et analysés, dont aucun n'était positif pour la maladie à virus Ebola (MVE). Au total, 159 résultats étaient toujours en attente en raison d'un manque de réactifs."
South-Kivu,05-06-2026,"Six échantillons ont été reçus et analysés au laboratoire, tous négatifs à la maladie à virus Ebola (MVE)."
Ituri,06-06-2026,"Au total, 94 échantillons ont été collectés et analysés, avec un taux de positivité de 28,7% (27 échantillons positifs)."
North-Kivu,06-06-2026,"Six échantillons ont été collectés et analysés, dont aucun n'était positif pour la maladie à virus Ebola (MVE). Au total, 193 résultats étaient en attente en raison d'un manque de réactifs."
South-Kivu,06-06-2026,"Six échantillons ont été reçus et analysés au laboratoire, tous négatifs à la maladie à virus Ebola (MVE)."
Ituri,07-06-2026,"Au total, 63 échantillons ont été collectés et analysés, avec un taux de positivité de 49,2% (31 échantillons positifs)."
North-Kivu,07-06-2026,"Au total, 183 résultats sont toujours en attente en raison d'un manque de réactifs."
South-Kivu,07-06-2026,"Quatre échantillons ont été reçus et analysés au laboratoire, tous négatifs pour la maladie à virus Ebola (MVE)."
Ituri,08-06-2026,"Au total, 115 nouveaux échantillons ont été collectés et analysés, avec un taux de positivité de 39,1% (45 échantillons positifs)."
North-Kivu,08-06-2026,"Au total, 146 résultats sont toujours en attente en raison d'un manque de réactifs."
South-Kivu,08-06-2026,"Six échantillons ont été reçus et analysés au laboratoire, tous négatifs à la maladie à virus Ebola (MVE)."
Ituri,09-06-2026,"Cinquante-quatre échantillons ont été analysés, avec un taux de positivité de 68,5 % (37 échantillons positifs)."
North-Kivu,09-06-2026,"Quarante-huit échantillons ont été collectés, dont 12 ont été analysés (aucun positif). Au total, 182 résultats étaient en attente en raison d'un manque de réactifs."
South-Kivu,09-06-2026,"Deux échantillons ont été analysés, tous deux négatifs."
Ituri,11-06-2026,"35 nouveaux échantillons collectés et analysés. Positivité : 48,6% (17 positifs)."
North-Kivu,11-06-2026,172 échantillons en attente (délai > 5 jours).
Ituri,15-06-2026,"130 nouveaux échantillons collectés et analysés. Positivité : 22,3% (29 positifs)."
South-Kivu,15-06-2026,"7 nouveaux échantillons prélevés et analysés, tous négatifs."
Ituri,18-06-2026,"101 échantillons collectés et analysés. Positivité : 34,6% (35 positifs)."
North-Kivu,18-06-2026,"79 nouveaux échantillons collectés et analysés. Positivité : 1,3% (1 positif)."
South-Kivu,18-06-2026,"10 nouveaux échantillons collectés, en cours d'analyse."
